id,translation
p1-za-1,兔子、黄牛和水牛是一群好朋友，无论去哪里都形影不离。
p1-za-2,有一天，他们去游泳了。
p1-za-3,大家一走到河边，就脱下衣服下水了。
p1-za-4,牛看见水牛的衣服比自己的好看，就一边游泳一边想着要怎么把那件水牛的衣服拿来穿。
p1-za-5,正有一头水牛在游泳，这时最有趣了。还有一头黄牛就偷偷地爬上岸，急忙打穿上衣服就走了。
p1-za-6,水牛身材高大，穿上那件衣服就显大，黄牛身材小，穿上水牛的衣服后，全身都松松垮垮的，有段布料就垂在黄牛的脖子下。
p1-za-7,你看，现在牛的前颈跳得厉害，就是那件衣服太宽了，带下来的时候还剩一点布料。
p1-za-8,水牛在河里欢快地玩耍着，忽然就看不见黄牛了。
p1-za-9,水牛爬上沿边去看，自己的衣服没被别人看见，安慰之余，下来时却发现黄牛从前穿的那件衣服，黄牛现在穿得很小，带得太多，水牛就穿在身上，整个身体都捆得紧紧的，显得凹凸不平，无能为力，只好随便走动几下，全身发热。
p1-za-10,到了闷热时节，天气会更加炎热难耐。
p1-za-11,所以，每逢天气炎热的时候，水牛都愿意下到水里泡着。
p1-za-12,黄牛偷穿了水牛的衣裳逃走了，水牛真想追去要回自己的衣服，可是黄牛早就跑到那遥远的地方去了。
p1-za-13,水牛和黄牛一起打闹，一直跺脚吹笛子，还喊着：“黄牛，你偷了我的衣服穿了，我要去龙王那里告状！”
p1-za-14,这头牛真把那只黄牛告到海龙王那里去，海龙王说：'这个阴间的黄牛真坏，等它来游泳时我要把它抓上来，让它真正认错后，再放它回去。
p1-za-16,后来，黄牛知道了一些消息，就不敢再去游泳了。天气又闷又热，黄牛就躲在树荫下乘凉。
p1-za-17,直到现在，那头牛还怕下水呢。
p2-za-1,传说在古代，这个地方只有一户人家，这户人家有十口人，父亲喜欢和儿子玩牌九，男人们经常聚在一起，他们都住在山谷里。
p2-za-2,那时候，他们不会犁畲地耙田和种植水稻玉米，只能依靠打猎和采集野果度日。
p2-za-3,后来，一群鸟飞过野狸所在的树林，果子和黄牛也在山谷里窒息了。如今这家人的日子比以前更加艰难了。
p2-za-4,有一天，父亲打猎从山上回来，看见路边几棵松树上结着一串串金灿灿的松果，觉得新奇就摘了些带回家，放在火塘边烤着吃，没想到又香又甜。
p2-za-5,父子十个人一会儿就吃了几荚那边的东西了。
p2-za-6,"吃完饭，父亲对九个儿子说：""孩子们啊，山上的野兽都被我独自打完了，树上的果子也都被我们家摘光了，明天我们该怎么度过这个月呢？我觉得那些挂在苦楝树上的荚果味道不错，也能充饥，不如我们就去挖土种那些苦楝树吧。""。"
p2-za-7,我抽空听了父亲的话了，你看看我，我希望你，大家也都听不出声音。
p2-za-8,这个男孩从小就懒惰成性，全靠父亲打猎采摘野果回来把他们养大。
p2-za-9,父亲见到一个高大威猛的男子，虽然没有出声，但心里感到十分凄凉，而且自己也不好意思大声说话。
p2-za-10,这件事就这样过去了。
p2-za-11,化不了多久，父亲大人忽然病倒了，连床都起不来了。
p2-za-12,"父亲知道自己不行了，就把九个儿子叫到床边，颤巍巍地对他们说：""我快要死了，我没有什么钱财留给你们，只是屋前那块地里埋了很多吃的，我死后，你们就去挖来吃吧。""。"
p2-za-13,父亲刚刚讲完就断气了。
p2-za-14,这个男孩哭闹了一会儿，就把父亲气得要埋到地下去。
p2-za-15,做父亲的这事后，乡亲们就去平整土地，把家门口挖得坑坑洼洼的地方填平，现在已经挖得整整齐齐了，唯独不见父亲埋在那里的食物。
p2-za-16,乡亲们又在四周的土地上挖来挖去，还把周围所有的树木杂草和荆棘都砍光烧尽，可还是找不到吃的。
p2-za-17,他们无精打采地回来，到了家里，坐在门口埋怨父亲。
p2-za-18,"埋怨了一会儿，老三还是迷迷糊糊的，他想起父亲的话，突然拍腿站起来，对乡亲们说：""招待，乡亲们！""。"
p2-za-19,我懂了，食物父亲已经说要找得停一停了。咱们在那块土地上刚才挖了一些植物的种子，这些种子就是食物啊？
p2-za-20,乡亲们一听老三的话，个个都突然明白了。
p2-za-21,同胞们从现在起，就要在上级安排的土地上种植植物，还要经常去地里查看植物的生长情况以确保丰收。这样做了之后，他们就会有收成，生活也会越来越好。
p2-za-22,从那年起，乡亲们年年都来栽种。
p2-za-23,就这样，土地变成了人们宝贵的资源，人们开始用它来耕种。
p3-za-1,从前，山谷里的村子有一对年轻夫妇，男的叫特生，女的叫达燕。
p3-za-2,那两个从小就没有父母的人，就靠租种地主的田地勉强过日子，日子也算过得去。
p3-za-3,有一年，天气特别干旱，稻子都旱死了，你们收不到一粒米。
p3-za-4,地主一天领着他的狗腿子来收租，人们被抓就不等到吃饭就被按倒在地打罚了。
p3-za-5,"德生家也交不上稻谷，财主对德生说：""你再不交稻谷来，就抢你老婆来顶稻谷。""。"
p3-za-6,达生怒不可遏，便带领种田人起来抗租。
p3-za-7,有一天，德生带领两百多个农民去财主家。
p3-za-8,财主一见便面如土色，农人们个个手持柴刀棍棒，怒目立于门前财主感觉事情不妙，就赶紧摆弄狗腿子跑向衙门告状去了。
p3-za-9,衙门立即派兵来围剿农民，双方就互相搏斗起来。
p3-za-10,因为人少打不过人多，这群农民有伤有死，达生也被地主抓走，关在牢里。
p3-za-11,阿燕和阿生被财主抓走了，哭得死去活来。
p3-za-12,达艳去了牢里探望男的几次，看见男的饿得晕倒在地，心里非常难过。
p3-za-13,达燕想：不能让德生饿死在屋里，得想个好办法才行。
p3-za-14,达妍回到家后，独自去山坡挖些山薯野菜来充饥，还把家里仅有的玉米碎省下来煮成饭
p3-za-15,要防着那些偷看粮仓的人偷吃新米，阿燕又去山上采茶叶回来泡水，用那些黄褐色的茶水来浸泡稻谷蒸煮，蒸好后捏成团，送进屋里给阿生。
p3-za-16,看守碉楼的人看见这些黄澄澄的饭团，不知是什么东西，也不多问。
p3-za-17,这样，这些糯米饭就能送到阿生的手里了。
p3-za-18,达生吃了这些黄饭团后，身体很快恢复了。
p3-za-19,在一个没有月光黑漆漆的夜晚，达生带领着农民们砸坏了铁门，冲出了楼房。
p3-za-20,还在三月初三那天，达生再次带领五百农人冲进财主家，把财主杀死。
p3-za-21,那个男生也在那次打架中被乱箭射死了。
p3-za-22,壮族男女纪念达光和梅雅，每年到了三月三，家家户户都做五彩糯米饭。
p3-za-23,时间久了，三月三吃黄色糯米饭就变成一种风俗了。
p4-za-1,锅巴结在锅底
p4-za-2,香如八月饼。
p4-za-3,引我口水直流
p4-za-4,在厨房等着吃饭。
p4-za-5,这首歌是我读大学时写在壮文课本上的
p4-za-6,当时那位同学和我一起坐着的人见了很惊奇，但他一听到我讲那些锅巴的故事后，就点头称赞说这首山歌写得真好。
p4-za-7,说起锅巴，有人摇头：现在吃穿不愁，白米饭管够，谁还稀罕锅巴？
p4-za-8,拿狗打鸡吃还怕鸡啄呢。
p4-za-9,但我从小最爱吃锅巴，这要从过去说起
p4-za-10,我小时候，村里的田地还没分到各家各户，我们生产队的田地少，有些户粮食不够吃。
p4-za-11,我家七口人（父母、奶奶和我们四兄妹），吃穿全靠父母。像我家这样劳力少人口多的，保证一日三顿有米下锅都难，所以常用红薯、芋头、玉米等杂粮当饭，怕日后断粮，平日三顿都煮粥，过节才煮干饭。
p4-za-12,奶奶虽然年纪大了，手脚不灵便，但她料理家务依然井井有条。
p4-za-13,特别是煮粥，奶奶煮得又软又香。锅底结的锅巴又脆又香，嚼在嘴里，那股香味像芝麻又像八月梨，吃锅巴能顶饿。从那时起我对锅巴特有感情，不论去哪吃饭都爱刮锅巴。
p4-za-14,有一件事让我记到现在。
p4-za-15,那时候，我父亲是一个浪费猪肉的人，在守备队里。一次遇到母猪下小猪崽时，队长就吩咐父亲去拿些大米来煮给母猪吃。
p4-za-16,父亲见我们几个兄弟姐妹饿着肚子，有一次煮猪食时，他悄悄用芭蕉叶包好那些热腾腾的猪食拿回来给我们吃。
p4-za-17,邻居孩子见我们有锅巴吃，眼红极了，把这事告诉他父母，他父母又报告队长。
p4-za-18,父亲因此把早饭带去我们那边，最后换去放牛小队。
p4-za-19,哎！
p4-za-20,为了给我们做锅巴饭，爸爸真是辛苦啊！
p4-za-21,那时我家有个煮猪食的大锅，村里逢酿酒或红白事，都爱来我家煮饭。
p4-za-22,他们知道我喜欢吃锅巴，平时舀饭时总会留些锅巴下来。
p4-za-23,现在我想起这事真可笑——那时竟天天盼村里有人酿酒办宴！
p4-za-24,我上初中那年，生产队分田到户了。
p4-za-25,那年我家稻谷多得没处堆，晚饭再不用煮粥。
p4-za-26,从那时起，我每晚都有锅巴嚼。
p4-za-27,早晨洗漱完，抓块锅巴边走边啃去学校，初中三年早饭就这么吃过来。
p4-za-28,大学毕业后在城里工作，现在我们夫妻俩都有工资领，吃穿不愁，但我时常会想起从前的日子。
p4-za-29,每次想到那香喷喷的锅巴，我就忍不住流口水。因为现在要用电煮饭，用煤气烧火，锅巴的味道已经比以前差多了。而且那些焦黄的锅巴给了别人，我都不记得了。
p4-za-30,因为小时候经常嚼锅巴，到现在两颗牙齿还硬得像铁一样，连啤酒瓶盖都能咬开呢！
p4-za-31,上个月我回乡下老家，为了赶上晚饭，我特地喊父亲用那个铁锅煮锅巴饭。
p4-za-32,真没想到，父亲说这几年村里人已经把生铁锅当废铁拿去卖了。
p4-za-33,他还说如今农村家家用沼气，煮饭不用柴，再说乡下人也不像从前馋干饭，赶集专买方便面吃哩！
p4-za-34,难怪厨房里父亲和叔叔的烟在灶上不见了。
p4-za-35,这里的村庄美丽极了，没有锅巴那样的东西，自己看见村子里精光一片，家家楼房雪白，村子后面树木青翠茂密，沙煲馅儿就高兴极了。
p5-za-1,"在我家村寨的后方，有一口大泉水，村里人称之为""清水泉""。"
p5-za-2,清泉啊，水清澈得像镜子一样，从远方看去，青青的、雪白的，像一颗颗晶莹剔透的珍珠在鱼肚里闪耀，额外的好看，额外的让人心旷神怡。
p5-za-3,我家祖祖辈辈都是喝这口泉水过日子的。
p5-za-4,我在泉边度过欢乐童年，对它深有感情。
p5-za-5,今天，我将要送她到远方去了，心里真有些舍不得。
p5-za-6,今天早晨，天才刚刚亮，我就急忙起床，一开门就往外看，呀！
p5-za-7,山间处处云雾缭绕，如乳汁般洁白，似棉絮般轻盈，若晚霞般飞舞，像浪花般翻腾。
p5-za-8,深山里的树木笼罩着村庄，模糊中看到有人在驱赶牲畜，但看不真切。远方的景象也模糊不清，周围被朦胧的雾气环绕，显得十分好看。
p5-za-9,但我无心去贪看美丽景色，抓紧收拾东西，就要动身外出求学去了。
p5-za-10,我自己热爱家乡的泉水，村子里有很多泉眼，心里总是留恋那里的美好。虽然没有放东西在那里整理，但每次回去，总是能感受到浓厚的乡情。我钻进模糊的视线中，脚踏着露水，来到泉水旁边。
p5-za-11,我定定地站在那里看他。
p5-za-12,这个泉水清澈见底，从十米高的地方沉沉地流下来，仿佛是从远方传来的歌声，多么美好啊！
p5-za-13,水中倒映着高山、溪流、竹林和蕉林，宛如一幅美丽的画卷。
p5-za-14,住在泉水边的人，一进去就仿佛在画中一样，视觉模糊的人投不了标，人们也仿佛在向上攀登。
p5-za-15,一阵风吹来，泉面上泛起层层浪花，跟着又渐渐散去，我心中久久不能平静。
p5-za-16,我突然又想起那幸福欢乐的时刻……
p5-za-17,小时候，我们这群孩子常在泉边玩水，有时蹲在泉边看蜻蜓点水，看蝴蝶扇动翅膀翩翩起舞。
p5-za-18,有一条鱼住在泉水里，一会儿跃出水面，一会儿游来游去。
p5-za-19,看到这令人陶醉的情景，我们都热烈地鼓掌欢笑。
p5-za-20,有时大家拿量米筒抓花，看完整个河中较深的地方后，自己独自到旁边泉边照“镜”，还互相逗笑，涌起满脸皱纹，十分可笑。
p5-za-21,每当夜晚有月光时，老人长辈们就会来到泉边洗菜洗衣，我们也常常跟着去，在泉边玩耍，听外婆讲牛郎织女的故事。
p5-za-22,父老们都回去了，我们就自己住在附近泉边望月亮，天空中还有星星闪烁，那边传来顺口溜的念咒声。
p5-za-23,夏天，泉里的青蛙和蝌蚪欢快地游动，泉边更加热闹。
p5-za-24,又累又厌了，我们都不知道也不记得有谁在旁边泉边睡得着了。许多晚上总是父老们去找寻见面抱回来家里，当时虽然睡得着，上面还是含笑。
p5-za-25,后来我们渐渐长大，就进学校读书了。
p5-za-26,这几年变化很大，我比以前懂得更多了，也学到了不少知识。
p5-za-27,每天晚上吃完晚饭后，我还要去泉边游泳沐浴，然后拿书来放声快乐地读……。
p5-za-28,夏天有一个晚上，天将黑时，月亮还未出来，天空显得格外的蓝。
p5-za-29,"我来到泉边，合上书卷，吟诵一首唐诗：""锄禾日当午，汗滴禾下土；谁知盘中餐，粒粒皆辛苦。""。"
p5-za-30,当时老师我偷偷地来到身边，听到我背诵完山歌了，抚摸着我说：“这样用功很好啊！”
p5-za-31,乡亲们的希望就在你们身上了！
p5-za-32,听了老师这些话，我心里很热乎，全身充满了力量，乡亲们对我也有了希望，我一定不会让乡亲们失望，我暗暗下定决心……
p5-za-33,"老师仿佛看透了我的心思，频频点头看着我，又说：""虽然这口泉不如大海广阔无边，但它日夜不停地流淌，时时清澈明亮，世世代代滋养着山里的人们，让山里人安居乐业。""。"
p5-za-34,这个人就应当像这眼泉水一样，让全村的人都能来，满足他们的愿望，真是太好了。
p5-za-35,从那时起，我就把这个泉眼当作一盏明灯，深深记在心里，照亮我读书，照亮我做人，照亮我前行。
p5-za-36,今天我将带着一个愿望回家乡，去外面求学了。
p5-za-37,"我心安地来到泉边，轻声对泉水说：""清泉啊，日后我一定要像你一样，用我的血汗化作泉水，多多让人们得到甘霖，这些我一定能做到，一定做得到......""。"
p5-za-38,一阵清风拂面而来，水波荡漾，浪花朵朵。清水泉似乎在诉说着它的故事，仿佛在向我倾诉着什么，我不由自主地咬紧牙关，笑眯眯地看着这一切。
p6-za-1,清晨，考察团我们从乌鲁木齐出发，前往参观洛玛克特。
p6-za-2,不久，我们就把乌鲁木齐远远甩在后面，进入吐鲁番盆地。
p6-za-3,沙漠地带实际上非常广阔，一眼望不到边，到处灰蒙蒙的，岩石连绵不绝。
p6-za-4,太阳渐渐升高，地面热浪滚滚，人像在火盆里，空气燥热灼人，无处躲藏。
p6-za-5,"我心里想：在这""火地""上，怎么会有山谷呢？"
p6-za-6,正午时分，我们抵达吐鲁番市，稍作停留，又向东北方向寻找葡萄沟。
p6-za-7,出了石区几里路，就看见那边有一片红褐相间的山脉，这种山在壮族地区从未见过。
p6-za-8,"导游说，这山叫""火焰山""。"
p6-za-9,"""鱼鳞谷""就在那个山谷里。"
p6-za-10,抵达火焰山时，人人称奇：山上寸草不生，裸土露石道路显现，热气蒸腾烟尘弥漫，真像无数火舌在舔舐。
p6-za-11,我自己在想，这地方这么炎热干旱，该去哪里找水喝呢？
p6-za-12,葡萄靠水活命，怎能在火焰山地生长？
p6-za-13,"记起唐朝张志全顺写《山火篇》：""火云满山聚不散，飞鸟千里不敢来""、""五月山火更加热，赤地百里不见人""。"
p6-za-14,我又暗自思量：究竟是何人敢在此地长期生活？
p6-za-15,转眼间，来到芭蕉叶边的村庄，只见这里绿意盎然，生机勃勃。
p6-za-16,呀，这是葡萄村！
p6-za-17,再往里走，就是山谷了！
p6-za-18,这个山谷不深，抬头一看，还能看见水中的鱼儿游动，周围有些荒凉冷落，青烟缕缕升起，云雾弥漫天空，仿佛将整个天地笼罩起来。
p6-za-19,然而，这山谷下，溪水清澈流动，绿树成荫，葡萄满谷。
p6-za-20,据说此沟南北长八公里，东西宽半公里，葡萄园占地千余亩，年产鲜葡萄六百多万公斤。
p6-za-21,在普天之下，这片葡萄园最为繁茂。
p6-za-22,在路旁，有1000多户人家，这是一户砖房，也全是刚建成的，上面和旁边经常处处可见成串的葡萄，仿佛还有千万颗珍珠般的心一样明亮、闪烁，让人羡慕不已。
p6-za-23,在洛格玛基特这个地方，我们进入了罗真葡萄园内部。
p6-za-24,这个地方路又窄又陡，路像山谷一样畅通，天空被葡萄藤遮盖得严严实实，到处一片阴凉，人们感到十分舒适。
p6-za-25,奇怪的是，有一条水沟从葡萄架下流过，水流湍急。
p6-za-27,在这一带有火，打哪里发这么多水来呢？
p6-za-28,"大家感叹道：""水火相依""、""沙漠多水啊！"
p6-za-29,游客们见群山连绵不通，就解释说：“在新加坡，雪难得与‘飞地’同在，沙漠常常与‘绿青相依’，尽显新加坡的干电辉煌，因为这里有大山、阿武代山、昆仑山等高山耸立，山上雨不常少，再加多滴河来调节，又有‘甘珠精’引来水，素来‘干净地’也不缺水。”
p6-za-30,"这条水渠，就是引水出山到""波古达山""的……。"
p6-za-31,大家终于明白了：“为什么葡萄能登上北美大陆，为什么主人能让葡萄在北美大陆过上好日子。”
p6-za-32,"真是""一方水土养一方人""啊！"
p6-za-33,当时正逢维吾尔族姑娘带着满满的葡萄串下来传递给我们，让我们尝尝新鲜。
p6-za-34,我们欢欢喜喜地跳起舞来：真是开心极了！
p6-za-35,我们独自轻轻地碰了那件事：区区一个葡萄变成了一万张床，啊，田地里的心醉了……
p6-za-36,女儿高兴得脸上亮光光的。
p6-za-37,在葡萄谷，当地的人们仍然明显地给我们展示着他们的舞蹈，那些维吾尔族的女儿们如此美好，那些音乐、那些歌声仿佛是甜津津的李子，还有新疆的风光。
p6-za-38,最让人印象深刻又难以忘怀的是跳蚤舞，特别是那些扭脖子的动作：跳舞者的眼珠又大又黑，转来转去亮晶晶的，像是在看人，又像没在看人，真叫人难以判断；而脖子更是奇特，身子不动，脖子却能灵活地左右扭动！
p6-za-39,全场观众都被深深吸引，掌声不断……
p6-za-40,游玩一次，终生难忘啊！
p6-za-41,"在翻译这个壮语句子时，我们需要结合词汇和语法逐一分析，并将其转换为流畅的汉语表达。以下是逐段翻译与最终完整翻译的过程：

---

### 壮语句子分解与翻译：
1. **Luegmakitndaw dieg Byafeizmbaw**  
   - **Lueg**：山谷、坡谷  
   - **makitndaw**：葡萄地（“makit”意为“葡萄”，“ndaw”意为“里”）  
   - **dieg**：地方、区域  
   - **Byafeizmbaw**：火焰山（“bya”意为“山”，“feizmbaw”意为“火焰”）  
   **翻译**：在葡萄山谷中的火焰山

2. **gij faex heu gij dieg raemh haenx**  
   - **gij**：不定量词  
   - **faex**：树木  
   - **heu**：青（形容颜色）  
   - **dieg**：地方  
   - **raemh**：遮挡、背光  
   - **haenx**：那  
   **翻译**：那些树荫遮挡住的地方

3. **gij mieng raez gij raemx saw haenx**  
   - **gij**：不定量词  
   - **mieng**：沟渠  
   - **raez**：长（形容形状）  
   - **raemx**：水  
   - **saw**：清澈  
   - **haenx**：那  
   **翻译**：那些清澈的长沟渠水流

4. **gij makit van gij go foux haenx**  
   - **gij**：不定量词  
   - **makit**：葡萄  
   - **van**：停泊（此处可理解为“挂满”）  
   - **go**：枝条  
   - **foux**：舞动（形容状态）  
   - **haenx**：那  
   **翻译**：那些枝条上挂满舞动的葡萄

---

### 完整汉语翻译：
在葡萄山谷中的火焰山，有那些树荫遮挡的地方，有那些清澈的长沟渠水流，还有那些枝条上挂满舞动的葡萄……"
p10-za-1,公鸡会自己长大，孤儿会靠人抚养。
p10-za-2,父老们这样真不错。
p10-za-3,"从前，有个男孤儿，人们都叫他""达嘎""。"
p10-za-4,这个老实又勤劳的小伙子，虽然家里很穷，但他常常出去钓鱼后回来做活路。
p10-za-5,有一次，达嘎钓到一个河蚌，拿回家放进水缸里。
p10-za-6,以后，大野猪清早就去犁田，到中午才回来。
p10-za-7,一进家门，哟！饭菜已经煮好了，正热腾腾、香喷喷的。
p10-za-8,再看看上边的土织布机，也有人和他一起织布了。
p10-za-9,那孤儿见了觉得非常奇怪，就去问上房的叔伯婶娘，看是谁来帮他，可人人都说不知道。
p10-za-10,第二天，大野装好饭出发去山上，就悄悄地躲在后面。
p10-za-11,刹那间，一位美丽的少女从水缸里出来，他认出这位少女就是那个田螺变成的。
p10-za-12,这个少女一来就卷起衣袖帮大勇做家务，还帮他煮饭和织布。
p10-za-13,那小伙子目不转睛地盯着看，随后就从后门跑出来，从背后拉住那姑娘，说想和她结为夫妻，那姑娘答应了。
p10-za-14,这样，大哥就有老婆了。
p10-za-15,阿贵两夫妻，早起晚睡，勤俭持家，妻子聪明能干，手艺胜过旁人，两口子日子过得很好。
p10-za-16,不过，好日子并不难，有一条消息说德国有一位聪明伶俐又善良的妻子，现在全靠耳朵听到皇帝的消息了。
p10-za-17,皇帝一听见就咽了口唾沫，赶紧派人去叫阿甲。
p10-za-18,皇帝对大将军说：“给你三天的时间，给我三支红岭、三支黑岭，如果不够就带你的妻子来见我。”
p10-za-19,阿狗回到家，话也不说，饭也不吃，觉也睡不着，他妻子以为他病了，问他怎么了。
p10-za-20,她就随便看了看，说道：“今天真是倒霉，皇帝的汗让我三天后给她三个红岭和三个黑岭，我怎么要啊！”
p10-za-21,"他妻子说：""别着急，咱们先犁三个红土岭，再烧三个忙岭，不就能松口气了！""。"
p10-za-22,过了三天，阿哥赶着牛去耕地，看见了就说：“这岭上曾经有红土，皇帝让我们来种，还告诉我们要好好耕种才行。”
p10-za-23,皇帝派人去看，原来是这么回事，却又奈何不得达格亚。皇帝再限他三天送来一条灰绳。
c25-za-1,乡亲们，我是第一次来到南宁。
c25-za-2,请问，南宁火车站是不是从这里去？
c25-za-3,"好的，这是句子的完整翻译：

汉语翻译是：**是的，这是嘈杂的杨树路，你直接去一会儿就到了。**

解释：
- “Dwg lo” 翻译为“是的”。
- “neix dwg Cauzyangzlu” 翻译为“这是嘈杂的杨树路”。
- “mwngz cigsoh bae yaep ndeu couh daengz” 使用了“baez …… couh ……”结构，表示“一……就……”，翻译为“你直接去一会儿就到了”。"
c25-za-4,离这里远吗？
c25-za-5,不远了，再往前走两里路，十几分钟就到了。
c25-za-6,你知道广西博物馆在哪里吗？
c25-za-7,在民族大道。
c25-za-8,广西电视台呢，怎么去？
c25-za-9,直达东方就到了，离这里不远，你坐六路公共汽车去吧。
c25-za-10,请问，我想去凤凰宾馆，走这条路对吗？
